danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.704,0.792,2,-4.831,1,0.198,0.00981,0,0.365,0.646,118.022,audio_features,537JuqEKrssl7OlRF5wlKx,spotify:track:537JuqEKrssl7OlRF5wlKx,https://api.spotify.com/v1/tracks/537JuqEKrssl7OlRF5wlKx,https://api.spotify.com/v1/audio-analysis/537JuqEKrssl7OlRF5wlKx,322800,4
0.834,0.878,8,-9.484,1,0.15,0.0461,0,0.334,0.418,102.848,audio_features,6KIKRz9eSTXdNsGUnomdtW,spotify:track:6KIKRz9eSTXdNsGUnomdtW,https://api.spotify.com/v1/tracks/6KIKRz9eSTXdNsGUnomdtW,https://api.spotify.com/v1/audio-analysis/6KIKRz9eSTXdNsGUnomdtW,258688,4
0.894,0.813,7,-3.867,1,0.22,0.0256,5.88e-06,0.0676,0.56,95.22,audio_features,5NLO5Y8BQOEDyrJ6Y906CB,spotify:track:5NLO5Y8BQOEDyrJ6Y906CB,https://api.spotify.com/v1/tracks/5NLO5Y8BQOEDyrJ6Y906CB,https://api.spotify.com/v1/audio-analysis/5NLO5Y8BQOEDyrJ6Y906CB,303573,4
0.859,0.75,8,-8.325,0,0.303,0.0193,0,0.0538,0.857,98.691,audio_features,5n8Aro6j1bEGIy7Tpo7FV7,spotify:track:5n8Aro6j1bEGIy7Tpo7FV7,https://api.spotify.com/v1/tracks/5n8Aro6j1bEGIy7Tpo7FV7,https://api.spotify.com/v1/audio-analysis/5n8Aro6j1bEGIy7Tpo7FV7,345717,4
0.862,0.648,4,-7.401,0,0.251,0.0455,0,0.0332,0.637,98.012,audio_features,6mZcNu9i8uhOYMiEAyEx81,spotify:track:6mZcNu9i8uhOYMiEAyEx81,https://api.spotify.com/v1/tracks/6mZcNu9i8uhOYMiEAyEx81,https://api.spotify.com/v1/audio-analysis/6mZcNu9i8uhOYMiEAyEx81,235533,4
0.837,0.692,7,-4.251,1,0.337,0.0383,0,0.212,0.805,87.775,audio_features,3JdyhQORbJkCWT8xfLd8gD,spotify:track:3JdyhQORbJkCWT8xfLd8gD,https://api.spotify.com/v1/tracks/3JdyhQORbJkCWT8xfLd8gD,https://api.spotify.com/v1/audio-analysis/3JdyhQORbJkCWT8xfLd8gD,379733,4
0.773,0.797,1,-7.184,0,0.276,0.229,0,0.138,0.836,85.016,audio_features,2qwGNZ1cLhF5i1r73jXjiO,spotify:track:2qwGNZ1cLhF5i1r73jXjiO,https://api.spotify.com/v1/tracks/2qwGNZ1cLhF5i1r73jXjiO,https://api.spotify.com/v1/audio-analysis/2qwGNZ1cLhF5i1r73jXjiO,260859,4
0.613,0.873,7,-6.376,0,0.0449,0.00397,0.00111,0.367,0.392,129.989,audio_features,7i9763l5SSfOnqZ35VOcfy,spotify:track:7i9763l5SSfOnqZ35VOcfy,https://api.spotify.com/v1/tracks/7i9763l5SSfOnqZ35VOcfy,https://api.spotify.com/v1/audio-analysis/7i9763l5SSfOnqZ35VOcfy,234813,4
0.715,0.838,2,-6.077,0,0.118,0.0897,0,0.15,0.497,120.007,audio_features,4Oyl6oYSNeeZZP0OAxPVaU,spotify:track:4Oyl6oYSNeeZZP0OAxPVaU,https://api.spotify.com/v1/tracks/4Oyl6oYSNeeZZP0OAxPVaU,https://api.spotify.com/v1/audio-analysis/4Oyl6oYSNeeZZP0OAxPVaU,240080,4
