danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.652,0.906,9,-4.032,1,0.161,0.13,0.0681,0.504,0.559,125.103,audio_features,0Gt4nGWoATcQFL38a1NRao,spotify:track:0Gt4nGWoATcQFL38a1NRao,https://api.spotify.com/v1/tracks/0Gt4nGWoATcQFL38a1NRao,https://api.spotify.com/v1/audio-analysis/0Gt4nGWoATcQFL38a1NRao,167277,4
0.642,0.56,7,-15.123,1,0.0848,0.0541,0.752,0.131,0.499,130.003,audio_features,6J9FgTr3z44Bw6ABeVL415,spotify:track:6J9FgTr3z44Bw6ABeVL415,https://api.spotify.com/v1/tracks/6J9FgTr3z44Bw6ABeVL415,https://api.spotify.com/v1/audio-analysis/6J9FgTr3z44Bw6ABeVL415,222333,4
0.718,0.713,6,-6.442,0,0.263,0.0507,0,0.867,0.731,84.48,audio_features,2CCYWy0SVgESfiR0g70tyW,spotify:track:2CCYWy0SVgESfiR0g70tyW,https://api.spotify.com/v1/tracks/2CCYWy0SVgESfiR0g70tyW,https://api.spotify.com/v1/audio-analysis/2CCYWy0SVgESfiR0g70tyW,289173,4
0.692,0.726,1,-6.427,1,0.0465,0.0237,2.33e-05,0.118,0.782,87.008,audio_features,5DfAKQmET7CEenXz4bpaN6,spotify:track:5DfAKQmET7CEenXz4bpaN6,https://api.spotify.com/v1/tracks/5DfAKQmET7CEenXz4bpaN6,https://api.spotify.com/v1/audio-analysis/5DfAKQmET7CEenXz4bpaN6,203973,4
0.634,0.78,9,-6.307,1,0.344,0.341,0.000637,0.112,0.376,133.187,audio_features,3k1ykgOj81yLOHKPmklHeV,spotify:track:3k1ykgOj81yLOHKPmklHeV,https://api.spotify.com/v1/tracks/3k1ykgOj81yLOHKPmklHeV,https://api.spotify.com/v1/audio-analysis/3k1ykgOj81yLOHKPmklHeV,201720,5
0.635,0.766,11,-6.449,1,0.26,0.132,0,0.122,0.686,93.603,audio_features,1jqB1YzZaDrxYKaFqTDLUe,spotify:track:1jqB1YzZaDrxYKaFqTDLUe,https://api.spotify.com/v1/tracks/1jqB1YzZaDrxYKaFqTDLUe,https://api.spotify.com/v1/audio-analysis/1jqB1YzZaDrxYKaFqTDLUe,139931,4
0.55,0.855,0,-5.032,1,0.285,0.169,0.00559,0.154,0.38,177.375,audio_features,1OWQpo4wfNRXGm7vBe6vd3,spotify:track:1OWQpo4wfNRXGm7vBe6vd3,https://api.spotify.com/v1/tracks/1OWQpo4wfNRXGm7vBe6vd3,https://api.spotify.com/v1/audio-analysis/1OWQpo4wfNRXGm7vBe6vd3,281507,4
0.63,0.773,9,-6.217,1,0.12,0.194,0.0989,0.111,0.446,158.006,audio_features,69D34snjPbZYGNwmIjmsZG,spotify:track:69D34snjPbZYGNwmIjmsZG,https://api.spotify.com/v1/tracks/69D34snjPbZYGNwmIjmsZG,https://api.spotify.com/v1/audio-analysis/69D34snjPbZYGNwmIjmsZG,260573,4
0.652,0.809,5,-5.276,1,0.17,0.164,0,0.175,0.512,94.786,audio_features,6nz35DNIzbtj5ztpDEcW1j,spotify:track:6nz35DNIzbtj5ztpDEcW1j,https://api.spotify.com/v1/tracks/6nz35DNIzbtj5ztpDEcW1j,https://api.spotify.com/v1/audio-analysis/6nz35DNIzbtj5ztpDEcW1j,254466,4
