danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,audio_features,1G391cbiT3v3Cywg8T7DM1,spotify:track:1G391cbiT3v3Cywg8T7DM1,https://api.spotify.com/v1/tracks/1G391cbiT3v3Cywg8T7DM1,https://api.spotify.com/v1/audio-analysis/1G391cbiT3v3Cywg8T7DM1,215907,4
0.64,0.864,7,-6.576,1,0.0314,0.00832,0,0.123,0.701,102.026,audio_features,42et6fnHCw1HIPSrdPprMl,spotify:track:42et6fnHCw1HIPSrdPprMl,https://api.spotify.com/v1/tracks/42et6fnHCw1HIPSrdPprMl,https://api.spotify.com/v1/audio-analysis/42et6fnHCw1HIPSrdPprMl,268360,4
0.62,0.682,9,-6.159,1,0.0417,0.075,0,0.103,0.944,74.483,audio_features,5cPfmNMC3AENizySC5oPu2,spotify:track:5cPfmNMC3AENizySC5oPu2,https://api.spotify.com/v1/tracks/5cPfmNMC3AENizySC5oPu2,https://api.spotify.com/v1/audio-analysis/5cPfmNMC3AENizySC5oPu2,136400,4
0.677,0.539,7,-14.439,1,0.063,0.0455,1.84e-06,0.845,0.469,95.116,audio_features,20XdEFyaUR9C7aDIdq2OAd,spotify:track:20XdEFyaUR9C7aDIdq2OAd,https://api.spotify.com/v1/tracks/20XdEFyaUR9C7aDIdq2OAd,https://api.spotify.com/v1/audio-analysis/20XdEFyaUR9C7aDIdq2OAd,270973,4
0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,audio_features,0q6LuUqGLUiCPP1cbdwFs3,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3,233867,4
0.471,0.735,11,-6.685,0,0.0582,7.84e-05,0.122,0.101,0.636,180.127,audio_features,13NCxLOlvQ4Tnexgfp03Gs,spotify:track:13NCxLOlvQ4Tnexgfp03Gs,https://api.spotify.com/v1/tracks/13NCxLOlvQ4Tnexgfp03Gs,https://api.spotify.com/v1/audio-analysis/13NCxLOlvQ4Tnexgfp03Gs,205240,4
0.538,0.953,9,-5.611,0,0.056,0.0234,0.00126,0.113,0.74,100.033,audio_features,2qH2scqyN6z1OB8dK0Y95y,spotify:track:2qH2scqyN6z1OB8dK0Y95y,https://api.spotify.com/v1/tracks/2qH2scqyN6z1OB8dK0Y95y,https://api.spotify.com/v1/audio-analysis/2qH2scqyN6z1OB8dK0Y95y,181049,4
0.535,0.886,4,-5.583,1,0.0477,0.000455,0.000626,0.174,0.4,130.068,audio_features,4gu1xxwIt5AJTovlZd7fKK,spotify:track:4gu1xxwIt5AJTovlZd7fKK,https://api.spotify.com/v1/tracks/4gu1xxwIt5AJTovlZd7fKK,https://api.spotify.com/v1/audio-analysis/4gu1xxwIt5AJTovlZd7fKK,159493,4
0.59,0.768,7,-5.462,1,0.0331,0.0106,0.0002,0.277,0.342,138.003,audio_features,4Ep81jxy0JQP36RZO9qSG5,spotify:track:4Ep81jxy0JQP36RZO9qSG5,https://api.spotify.com/v1/tracks/4Ep81jxy0JQP36RZO9qSG5,https://api.spotify.com/v1/audio-analysis/4Ep81jxy0JQP36RZO9qSG5,213693,4
