error
"{'status': 429, 'message': 'API rate limit exceeded'}"
"{'status': 429, 'message': 'API rate limit exceeded'}"
"{'status': 429, 'message': 'API rate limit exceeded'}"
"{'status': 429, 'message': 'API rate limit exceeded'}"
"{'status': 429, 'message': 'API rate limit exceeded'}"
0.624,0.598,11,-10.23,1,0.0365,0.883,0.0876,0.602,0.122,148.05,audio_features,0uyCWxy4a1NRSwGRe7ms09,spotify:track:0uyCWxy4a1NRSwGRe7ms09,https://api.spotify.com/v1/tracks/0uyCWxy4a1NRSwGRe7ms09,https://api.spotify.com/v1/audio-analysis/0uyCWxy4a1NRSwGRe7ms09,319250,4
0.641,0.549,11,-8.303,0,0.1,0.522,0.000113,0.0764,0.345,99.913,audio_features,0oaSkcIh1fQz8tNtbsJueO,spotify:track:0oaSkcIh1fQz8tNtbsJueO,https://api.spotify.com/v1/tracks/0oaSkcIh1fQz8tNtbsJueO,https://api.spotify.com/v1/audio-analysis/0oaSkcIh1fQz8tNtbsJueO,185853,4
0.722,0.599,8,-8.407,0,0.222,0.131,0,0.28,0.776,149.919,audio_features,2cFHLG41BX3chiw1KhcfNB,spotify:track:2cFHLG41BX3chiw1KhcfNB,https://api.spotify.com/v1/tracks/2cFHLG41BX3chiw1KhcfNB,https://api.spotify.com/v1/audio-analysis/2cFHLG41BX3chiw1KhcfNB,144224,4
0.807,0.493,10,-7.087,0,0.139,0.393,0,0.138,0.262,75.589,audio_features,6hlLKByDfmpoQQrfag0LzV,spotify:track:6hlLKByDfmpoQQrfag0LzV,https://api.spotify.com/v1/tracks/6hlLKByDfmpoQQrfag0LzV,https://api.spotify.com/v1/audio-analysis/6hlLKByDfmpoQQrfag0LzV,214974,4
0.821,0.35,7,-10.571,1,0.0412,0.817,0.478,0.329,0.379,119.991,audio_features,1IXiBroTLzGMKvd2OTR0GG,spotify:track:1IXiBroTLzGMKvd2OTR0GG,https://api.spotify.com/v1/tracks/1IXiBroTLzGMKvd2OTR0GG,https://api.spotify.com/v1/audio-analysis/1IXiBroTLzGMKvd2OTR0GG,306000,4
0.645,0.364,6,-9.699,0,0.429,0.772,0,0.114,0.5,91.564,audio_features,5SBPdm1dAz7WhgmSQVfOew,spotify:track:5SBPdm1dAz7WhgmSQVfOew,https://api.spotify.com/v1/tracks/5SBPdm1dAz7WhgmSQVfOew,https://api.spotify.com/v1/audio-analysis/5SBPdm1dAz7WhgmSQVfOew,240462,4
0.511,0.596,0,-6.56,1,0.224,0.53,0,0.0798,0.554,158.063,audio_features,6fTdcGsjxlAD9PSkoPaLMX,spotify:track:6fTdcGsjxlAD9PSkoPaLMX,https://api.spotify.com/v1/tracks/6fTdcGsjxlAD9PSkoPaLMX,https://api.spotify.com/v1/audio-analysis/6fTdcGsjxlAD9PSkoPaLMX,226014,4
0.81,0.308,0,-8.194,1,0.0818,0.354,0,0.0899,0.56,120.012,audio_features,3ml3WB66sqG4kXoPBX2POA,spotify:track:3ml3WB66sqG4kXoPBX2POA,https://api.spotify.com/v1/tracks/3ml3WB66sqG4kXoPBX2POA,https://api.spotify.com/v1/audio-analysis/3ml3WB66sqG4kXoPBX2POA,204000,4
0.476,0.661,0,-5.435,0,0.116,0.166,0,0.158,0.712,162.164,audio_features,40zttuJel1Pp0TI2Z6G70R,spotify:track:40zttuJel1Pp0TI2Z6G70R,https://api.spotify.com/v1/tracks/40zttuJel1Pp0TI2Z6G70R,https://api.spotify.com/v1/audio-analysis/40zttuJel1Pp0TI2Z6G70R,180938,4
0.693,0.322,9,-11.224,0,0.0314,0.77,0.506,0.0939,0.518,141.042,audio_features,7qeXpTqozYZT7BG24aPz72,spotify:track:7qeXpTqozYZT7BG24aPz72,https://api.spotify.com/v1/tracks/7qeXpTqozYZT7BG24aPz72,https://api.spotify.com/v1/audio-analysis/7qeXpTqozYZT7BG24aPz72,241067,4
0.552,0.433,0,-6.805,1,0.052,0.288,0,0.0859,0.241,142.563,audio_features,6F7CjVIrwk7PddQUsoPmoo,spotify:track:6F7CjVIrwk7PddQUsoPmoo,https://api.spotify.com/v1/tracks/6F7CjVIrwk7PddQUsoPmoo,https://api.spotify.com/v1/audio-analysis/6F7CjVIrwk7PddQUsoPmoo,323787,4
