danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.446,0.657,7,-4.494,1,0.0262,0.0022,0,0.189,0.215,152.132,audio_features,420JGkyLfLUZcgBHKiIK9v,spotify:track:420JGkyLfLUZcgBHKiIK9v,https://api.spotify.com/v1/tracks/420JGkyLfLUZcgBHKiIK9v,https://api.spotify.com/v1/audio-analysis/420JGkyLfLUZcgBHKiIK9v,250093,3
0.386,0.569,1,-4.839,1,0.0314,0.35,0,0.12,0.347,111.62,audio_features,6KDUIPBPc1kWCU7aiQ6uGS,spotify:track:6KDUIPBPc1kWCU7aiQ6uGS,https://api.spotify.com/v1/tracks/6KDUIPBPc1kWCU7aiQ6uGS,https://api.spotify.com/v1/audio-analysis/6KDUIPBPc1kWCU7aiQ6uGS,255027,4
0.764,0.487,0,-6.734,1,0.0281,0.25,0,0.184,0.352,116.027,audio_features,6A3gHbGIWZp2AScLbDuxJI,spotify:track:6A3gHbGIWZp2AScLbDuxJI,https://api.spotify.com/v1/tracks/6A3gHbGIWZp2AScLbDuxJI,https://api.spotify.com/v1/audio-analysis/6A3gHbGIWZp2AScLbDuxJI,261320,4
0.561,0.252,7,-9.448,0,0.0345,0.917,0,0.106,0.346,144.226,audio_features,0RJmnZ23Usaa07LPUe4mGb,spotify:track:0RJmnZ23Usaa07LPUe4mGb,https://api.spotify.com/v1/tracks/0RJmnZ23Usaa07LPUe4mGb,https://api.spotify.com/v1/audio-analysis/0RJmnZ23Usaa07LPUe4mGb,228920,5
0.577,0.336,5,-7.263,1,0.0303,0.804,0,0.103,0.154,95.927,audio_features,7bppBAD4NHqVqzXkrkZVxY,spotify:track:7bppBAD4NHqVqzXkrkZVxY,https://api.spotify.com/v1/tracks/7bppBAD4NHqVqzXkrkZVxY,https://api.spotify.com/v1/audio-analysis/7bppBAD4NHqVqzXkrkZVxY,176520,4
0.538,0.636,1,-4.975,1,0.0285,0.263,0,0.117,0.281,139.776,audio_features,68DcqqXKi0cRlbPlghUhsb,spotify:track:68DcqqXKi0cRlbPlghUhsb,https://api.spotify.com/v1/tracks/68DcqqXKi0cRlbPlghUhsb,https://api.spotify.com/v1/audio-analysis/68DcqqXKi0cRlbPlghUhsb,240147,4
0.552,0.757,1,-6.072,1,0.0294,0.0439,0,0.123,0.0979,89.981,audio_features,7pYPpFhFyOwCjf4y7vdJqM,spotify:track:7pYPpFhFyOwCjf4y7vdJqM,https://api.spotify.com/v1/tracks/7pYPpFhFyOwCjf4y7vdJqM,https://api.spotify.com/v1/audio-analysis/7pYPpFhFyOwCjf4y7vdJqM,237800,4
0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,audio_features,3hB5DgAiMAQ4DzYbsMq1IT,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,https://api.spotify.com/v1/tracks/3hB5DgAiMAQ4DzYbsMq1IT,https://api.spotify.com/v1/audio-analysis/3hB5DgAiMAQ4DzYbsMq1IT,233720,4
0.538,0.828,11,-5.747,1,0.0318,0.000218,4.74e-06,0.0807,0.404,139.924,audio_features,1SGXZhX9S8nNXz4bzI1HTL,spotify:track:1SGXZhX9S8nNXz4bzI1HTL,https://api.spotify.com/v1/tracks/1SGXZhX9S8nNXz4bzI1HTL,https://api.spotify.com/v1/audio-analysis/1SGXZhX9S8nNXz4bzI1HTL,228653,4
